feature,importance
depth_ft,0.4440250547666348
torque_ftlb,0.1934866738094608
rpm_x_torque,0.12967455173066544
rpm,0.05314485765119287
mse_simplified,0.04759398259097471
quartz_x_wob,0.02703768534624653
weight_on_bit_klb,0.025263952365350645
hardness_x_wob,0.025131535345853294
h2s_shakers_ppm,0.020953985191383112
calcite_pct,0.01426250471679737
soft_to_hard_ratio,0.004635280599463063
hardness_index,0.00346126223189323
h2s_pits_ppm,0.0025289454777220307
quartz_pct,0.002363413435261272
chlorite_likely_imputed,0.002324999484433198
epidote_pct,0.00141603364459179
h2s_rig_floor_ppm,0.000793241222224203
high_rpm,0.0007205157615489661
chlorite_pct,0.00041041639529924303
hematite_pct,0.0002526726939903228
high_torque,0.00024395031615968875
high_wob,0.0002138938680195176
anhydrite_pct,5.3123326585670934e-05
aggressive_drilling,7.468028248295822e-06
