feature,importance
depth_ft,0.44423120865206894
torque_ftlb,0.19409924590187627
rpm_x_torque,0.12952962893889822
rpm,0.054669531348427405
mse_simplified,0.047874989723571584
quartz_x_wob,0.029009888207762298
hardness_x_wob,0.025340193406228947
weight_on_bit_klb,0.02457260158185498
h2s_shakers_ppm,0.021220464961407087
calcite_pct,0.014316286287109677
soft_to_hard_ratio,0.005503463086450351
quartz_pct,0.0028523863850070624
h2s_pits_ppm,0.0026719192678174887
chlorite_likely_imputed,0.002577509435209647
epidote_pct,0.0015306828163099038
