depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,rop_ft_hr,rop_transformed
10782.0,58.97,21.1902,81.47,0.0,0.0,10.0,10.0,0.0,40.0,5.0,0.0,0.0,3.7,0.1999600079984003,0,0,0,1,0,58.97606998907914,2358.8,1726.365594,218.189,284.4,12.472236237929751
10107.0,58.37,19.7593,83.16,0.0,3.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,2.44,0.433188937020993,0,0,0,1,0,58.37536234503149,1751.1,1643.183388,142.4228,306.42,12.781852593017911
337.0,6.43,1.3497,32.8,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,6.430177038150844,32.15,44.27015999999999,2.572,250.05,11.951394638200531
5242.0,50.15,9.2564,78.5,0.0,0.0,2.0,0.0,2.0,50.0,0.0,0.0,0.0,3.66,0.038454143433955,1,0,0,0,0,50.15504042314095,2507.5,726.6274,183.549,144.15,9.905496576300042
2990.0,64.81,13.2614,99.13,0.0,0.0,2.0,0.0,0.0,5.0,40.0,0.0,0.0,0.4,0.3992015968063872,1,1,1,0,0,64.81697290925582,324.05,1314.602582,25.924000000000003,188.52,10.866431156549245
2072.0,18.91,12.9147,97.29,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,18.91856315111429,94.55,1256.4711630000002,7.564,146.72,9.966771050479302
4664.0,79.56,14.0875,99.01,0.0,10.0,5.0,0.0,30.0,30.0,0.0,0.0,100.0,4.175,0.2499583402766205,0,1,1,0,0,79.58079313319917,2386.8,1394.8033750000002,332.163,67.07,7.5029171549092295
6455.0,59.92,11.7199,58.6,0.0,2.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.31,0.0666555574070988,1,0,0,0,0,59.93279169566027,3595.2000000000003,686.78614,258.2552,53.68,6.888844323537652
289.0,9.86,1.3497,22.42,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,9.860206230995706,49.3,30.260274,3.944,146.72,9.966771050479302
7962.0,70.45,3.9312,31.53,0.0,2.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,3.61,0.0799840031993601,1,1,0,0,0,70.45401915486381,3522.5,123.950736,254.3245,30.83,5.508900348956069
